index,text,true_label,predicted_label,true_idx,pred_idx,dataset,model,model_label,accuracy,macro_f1
168,"My local PBS station WHYY Philadelphia recently showed ""The Elegant Universe."" After three hours of watching it, besides having my brain hurt, I learned all about wormholes, quantum mechanics and parallel realities and alternate universes.<br /><br />The last hour of the show was about ""String Theory"" Physics, a semi-new branch of physics which makes many of the the ideas of science fiction not only possible, but PROBABLE. With the ""String Theory"" it sounds like wormholes, alternate realities an",Positive,Negative,1,0,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
170,"You have to see this. I could not stop laughing about the stupidities I saw in this movie even late after the event. There is maybe a million of individual mistakes and stupidities in this movie. The acting is bad. The story is so predictable and flat. The effects are like 50 years old. The supposed thriller is nowhere. You will not enjoy the movie, but you will laugh at it and enjoy laughing at it a long time after it. We had a great time AFTER the movie. Truly. Me and my friend spent entire 40",Negative,Positive,0,1,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
202,"In an era of such awful cartoons, I am rather in shock to see a movie with such good morals make it to the IMDB Bottom List for Animated movies.<br /><br />This movie does contradict the first. I won't deny that. However, when I was in the target age group for this movie, I didn't even notice, nor would it have mattered if I did. The people who made it may have used ""New Generation"" to note that this is another way the Care Bear Family could have began. Perhaps we are meant to decide for ourselv",Positive,Negative,1,0,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
207,Apparently I am swimming against the tide of the glowing comments on this film. I have not seen it since I was 4 or 5 years old but there is one thing I remember distinctly...<br /><br />The Bunyip was TERRIFYING!!! Nightmare inducing terrifying. With the creepy music and the little girl and kangaroo running/hopping away for their lives...<br /><br />As a kid I also remember the animated Hobbit... no worries. Watership down? Didn't blink an eye. Dot and the Kangaroo? It still haunts my dreams. A,Negative,Positive,0,1,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
209,"This film flopped miserably in the UK, and it didn't deserve to. The trailer of this film is slightly misleading, and I guess it mislead critics and audiences into thinking it was ""Atonement: Part 2"". While the film was marketed that way to capitalise on the earlier success of Joe Wright's BAFTA-winning film, it's very different in tone. It focuses on an imagination of sorts of Welsh poet Dylan Thomas' life during the Second World War as the writer of propaganda films for the war effort, and his",Positive,Negative,1,0,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
260,"This was a less than exciting short film I saw between features on Turner Classic Movies recently. While the film popped out due to its very intense Technicolor, the film itself just wasn't that moving and at times the plot looked pretty cheesy--like this was made for classroom use and capturing the attention of a wider audience WASN'T even a consideration. In particular, I really hated how many times in the film things were reiterated--such as when the characters talked to her, they usually sai",Negative,Positive,0,1,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
280,"I saw the film at the Belgrade Film Festival last week, and I'm still working off the trauma. Essentially my view seems to match a number of others - the first half hour was fresh, sharp, deep, entertaining and promising. Well acted too. Natural. My problem, however, is not simply with the fact that the final hour and a half of the film have nothing to do with the likable beginning, nor the fact that I spent most of this time convulsing in agony at sharp, grating industrial sounds and squinting ",Negative,Positive,0,1,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
295,"I own this movie. And it is terribly hard to find. It is a unique low budget little gore flick about a doctor seeking the perfect companion. It has the really humourous low budget feel to it, and the gore is suprisingly good for what appears to be a $500 budget. The director is claimed to be the master of gore. I wouldn't go that far, but maybe in his time he was. Overall 6/10 on the gore chart.",Negative,Positive,0,1,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
300,"It may be a remake of the 1937 film by Capra, but it is wrong to consider it only in that way! It was supposed to expose Hilton's novel in a completely different way. As a musical is excellent. The scenery is terrific, the characters good and anyone like ""Leonard Maltin"" who considers the Bacharach music awful must be completely deaf! I strongly recommend it.",Positive,Negative,1,0,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
319,"Who ever put that review as 'of bad taste' is not all quite there... its so funny, genius and fantastic you could watch it until your eyes are square! not to mention the rest of the work he has done on the rest of the series...all is as good as Morris' standards. if you think that it is 'awful', 'distasteful' or 'sick' then i can only think of one thing to say to you: ""go to hell."" thanks. it had to be said! i think that the way that so many people complaining was a complete joke...i would like ",Positive,Negative,1,0,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
321,"Let's get some things straight first: Zombies don't exist so the filmmaker can have them WALK, RUN, hell even FLY if he wants to. That's what makes this original Zombie movie so good. Everything they did was so damn original. I hate it when filmmakers do everything like Romero or when fan boys expect everything like Romero. Some idiots think that zombies should only growl like a typical Romero movie, once again zombies don't exist so a filmmaker can make zombies whistle if he wants. The zombies ",Positive,Negative,1,0,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
323,"Valentine ""Dogkiller"" Dussaut and Joe ""The Judge"" Kern join forces to clean up the mean streets of Geneva! Thrill as they put the kibosh on international heroin smugglers, Polish fugitives, peeping toms, philandering girlfriends, renegade dogs, and litterbugs who are too lazy to bin their recyclables. Don't be fooled by the deceptive Miramax ad campaign that paints it as a pretentious, art house flick. This movie is 100% action!",Positive,Negative,1,0,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
334,This is a fantasy movie for kids based on the Boggy Creek Legend although I don't know why they called it Return to Boggy Creek as if it's a sequel.This movie has nothing to do with the documentary and its fantasy kiddie fare. Dawn Wells stars as the mother of 3 children who get lost in the swamp around Boggy Creek with 2 other men and the monster comes to their aid. Yes it's very silly and the plot is corny but this kind of movie is perfect for the 8-12 y/o group which it targeted. It's harmles,Positive,Negative,1,0,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
344,"This is a better adaptation of the book than the one with Paltrow (although I liked that one, too). It isn't so much that Beckinsale is better -- they are both very good -- but that the screenplay is better. Davies is a master at adapting Austen for filming, and the production values here are very good. It's not quite as glossy as the Hollywood treatment, but it's close, and I thought that the locations and the costumes actually worked better.",Positive,Negative,1,0,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
346,"Let's start from this point: This is not a movie intended for the common audience. Utterly bizarre, somehow incomprehensible, totally unpredictable, it just keep you stoned watching at the screen trying to figure out what will happen next. If that by itself doesn't make you agree it is an excellent movie, then go back to your ""family"" movies and forget about MOTORAMA. It has material to be considered a cult movie, it can be placed in the same category with movies that win awards in Cannes or oth",Positive,Negative,1,0,imdb,tfidf_svm,best,0.9050666666666667,0.905064479352271
